,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,ppi,Speed,HDD,SSD
29,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows,2.5,0,0,127.33567457123111,1.6,1000,0
30,Chuwi,Notebook,Other Intel Processor,4,Intel HD,Windows,1.89,0,0,141.21199808219862,1.44,0,0
31,Asus,Notebook,AMD Processor,2,AMD Radeon,Windows,1.65,0,0,111.93520355955211,1.5,0,0
32,HP,Notebook,AMD Processor,4,AMD Radeon,Windows,2.71,0,0,127.33567457123111,2.5,500,0
33,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows,1.2,1,0,276.053530085501,1.8,0,512
34,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,0,0,127.67794013309688,1.6,0,0
35,Lenovo,Notebook,Intel Celeron Dual,4,Intel HD,Windows,1.44,0,0,111.93520355955211,1.1,0,0
36,Acer,Notebook,Intel Core i3,4,Intel HD,Linux,2.1,0,0,100.45466986113651,2.7,1000,0
37,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows,2.8,0,1,127.33567457123111,1.6,1000,128
38,HP,Notebook,Intel Core i5,4,Intel HD,Windows,1.86,0,0,100.45466986113651,2.5,1000,0
39,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows,2.1,0,0,141.21199808219862,1.6,0,256
40,Asus,Notebook,Intel Core i3,4,Intel HD,Linux,2.0,0,0,141.21199808219862,2.0,1000,0
41,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.65,0,1,141.21199808219862,2.8,1000,256
42,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Linux,2.3,0,0,100.45466986113651,2.5,1000,0
43,Acer,Notebook,Intel Core i5,4,Intel UHD,Windows,2.2,0,1,141.21199808219862,1.6,0,256
44,Dell,2 in 1 Convertible,Intel Core i5,12,Nvidia GeForce,Windows,2.77,1,0,127.33567457123111,1.6,1000,0
45,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,0,1,226.98300468106115,2.0,0,256
46,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,0,0,100.45466986113651,2.0,0,128
47,Asus,Gaming,AMD Processor,8,AMD Radeon,Windows,3.2,0,0,127.33567457123111,3.0,1000,256
48,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows,2.3,0,0,141.21199808219862,2.5,0,256
49,Asus,Notebook,Other Intel Processor,4,Nvidia GeForce,Windows,2.8,0,0,90.58340172449303,1.1,1000,0
50,Lenovo,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Other,0.69,1,1,224.17380907857276,1.44,0,0
51,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows,2.2,0,1,141.21199808219862,1.8,0,256
52,HP,Notebook,AMD Processor,4,AMD Radeon,Windows,1.86,0,0,141.21199808219862,2.5,0,256
53,HP,Notebook,Intel Core i7,8,Intel UHD,Windows,1.49,0,0,165.6321180513006,1.8,0,512
54,Acer,Notebook,Intel Core i3,4,Intel HD,Windows,2.4,0,0,100.45466986113651,2.4,1000,0
55,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows,2.13,0,0,141.21199808219862,1.8,0,256
56,HP,Notebook,Intel Core i3,4,Intel HD,Windows,1.91,0,0,141.21199808219862,2.0,0,128
57,Asus,Notebook,Intel Core i5,4,Intel HD,Windows,2.0,0,0,100.45466986113651,2.5,0,256
58,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.43,0,0,127.33567457123111,2.8,2000,256
59,Asus,Notebook,Intel Core i3,4,Intel HD,Linux,2.0,0,0,141.21199808219862,2.0,0,256
60,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows,2.8,0,0,127.33567457123111,1.8,2000,256
61,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows,1.7,0,0,157.3505121487356,1.6,0,256
62,Lenovo,Notebook,Intel Core i3,8,Intel HD,No OS,1.7,0,1,157.3505121487356,2.7,0,256
63,Asus,Notebook,Intel Core i5,8,Intel UHD,Windows,1.4,0,0,157.3505121487356,1.6,0,256
64,HP,Notebook,Intel Core i5,8,Intel HD,Windows,1.86,0,0,141.21199808219862,2.5,0,256
65,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows,1.8,0,0,141.21199808219862,2.8,0,512
66,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows,1.86,0,0,100.45466986113651,2.0,500,0
67,HP,Notebook,Intel Celeron Dual,4,Intel HD,Windows,1.44,0,0,111.93520355955211,1.6,0,32
68,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows,1.9,0,0,141.21199808219862,2.5,1000,0
69,Asus,Gaming,Intel Core i7,12,Nvidia GeForce,Linux,3.0,0,0,127.33567457123111,2.8,1000,0
70,Microsoft,Ultrabook,Intel Core i5,4,Intel HD,Windows,1.252,1,0,200.84255993695703,2.5,0,128
71,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows,1.4,0,1,165.6321180513006,1.8,0,256
72,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows,2.2,0,0,141.21199808219862,1.8,0,256
73,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows,2.7,0,0,127.33567457123111,2.5,1000,128
74,Acer,Notebook,Intel Core i3,8,Intel HD,Windows,2.1,0,0,111.93520355955211,2.0,1000,0
75,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows,2.2,0,0,141.21199808219862,2.8,1000,0
76,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,0,0,141.21199808219862,2.5,2000,0
77,Dell,Notebook,Intel Core i7,8,Intel UHD,Windows,2.02,0,0,141.21199808219862,1.8,1000,128
78,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows,2.2,0,0,141.21199808219862,2.7,1000,0
79,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows,2.5,0,0,127.33567457123111,1.6,1000,128
80,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows,1.88,0,1,141.21199808219862,1.6,0,256
81,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,0.92,0,1,226.41554716935852,1.3,0,512
82,HP,Notebook,Intel Core i5,8,Intel HD,Windows,1.63,0,0,157.3505121487356,1.6,0,256
83,Lenovo,Notebook,AMD Processor,4,Other,Windows,2.2,0,0,141.21199808219862,2.5,0,128
84,Acer,Notebook,AMD Processor,4,AMD Radeon,Windows,2.1,0,0,100.45466986113651,3.0,1000,0
85,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.65,0,1,141.21199808219862,2.8,1000,128
86,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows,1.83,0,1,141.21199808219862,1.8,0,256
87,HP,Notebook,Intel Core i5,8,Intel HD,Windows,1.96,0,0,141.21199808219862,2.5,0,256
88,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows,2.2,0,1,141.21199808219862,2.8,1000,128
89,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows,1.21,0,1,165.6321180513006,1.8,0,256
90,Asus,Gaming,AMD Processor,8,AMD Radeon,Windows,2.45,0,0,141.21199808219862,3.0,1000,0
91,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows,2.2,0,0,141.21199808219862,1.8,1000,0
92,HP,Notebook,Intel Core i7,16,Intel UHD,Windows,1.49,0,0,165.6321180513006,1.8,0,512
93,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows,2.65,0,0,141.21199808219862,2.5,0,256
94,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows,1.25,0,0,157.3505121487356,2.7,0,256
95,Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows,1.5,1,1,165.6321180513006,1.6,0,256
